"prefecture","city","name","postal_code","address","phone","area","source_url","confirmed_on"
"東京都","町田市","堺第1高齢者支援センター","1940211","東京都町田市相原町2373-1","042-770-2558","相原町","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","堺第2高齢者支援センター","1940215","東京都町田市小山ヶ丘1-2-9","042-797-0200","小山町・小山ヶ丘・上小山田町","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","忠生第1高齢者支援センター","1940202","東京都町田市下小山田町3580","042-797-8032","図師町・下小山田町・忠生・矢部町ほか","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","忠生第2高齢者支援センター","1950074","東京都町田市山崎町2200 山崎団地3-18棟101号","042-792-1105","山崎町・木曽町ほか","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","鶴川第1高齢者支援センター","1950073","東京都町田市薬師台3-270-1","042-736-6927","小野路町・野津田町・金井ほか","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","鶴川第2高齢者支援センター","1950053","東京都町田市能ヶ谷3-2-1","042-737-7292","能ヶ谷・三輪町・鶴川ほか","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","町田第1高齢者支援センター","1940022","東京都町田市森野4-8-39","042-728-9215","原町田・中町・森野・旭町","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","町田第2高齢者支援センター","1940032","東京都町田市本町田2102-1","042-729-0747","本町田・藤の台・南大谷の一部","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","町田第3高齢者支援センター","1940041","東京都町田市玉川学園3-35-1","042-710-3378","玉川学園・南大谷・東玉川学園","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","南第1高齢者支援センター","1940005","東京都町田市南町田5-16-1","042-796-2789","南町田・鶴間・小川・つくし野ほか","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","南第2高齢者支援センター","1940015","東京都町田市金森東3-18-16","042-796-3899","金森・金森東・南成瀬・成瀬が丘ほか","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"東京都","町田市","南第3高齢者支援センター","1940046","東京都町田市西成瀬2-48-23","042-720-3801","成瀬・西成瀬・高ヶ坂・成瀬台","https://www.city.machida.tokyo.jp/iryo/old/shiminnokatae/mijikanasodan/koureisha_shien_center.html","2026-08-23"
"神奈川県","川崎市宮前区","富士見プラザ地域包括支援センター","2160001","神奈川県川崎市宮前区南野川1-8-11 特別養護老人ホーム富士見プラザ内","044-740-2883","有馬・東有馬","https://www.city.kawasaki.jp/350/page/0000022216.html","2026-08-23"
"神奈川県","川崎市宮前区","フレンド神木地域包括支援センター","2160031","神奈川県川崎市宮前区神木本町5-12-15 特別養護老人ホームフレンド神木内","044-871-1180","五所塚・平・神木本町・白幡台","https://www.city.kawasaki.jp/350/page/0000022196.html","2026-08-23"
"神奈川県","川崎市宮前区","みかど荘地域包括支援センター","2160001","神奈川県川崎市宮前区西野川3-39-11","044-777-5716","梶ヶ谷・野川","https://www.city.kawasaki.jp/350/page/0000022205.html","2026-08-23"
"神奈川県","川崎市宮前区","レストア川崎地域包括支援センター","2160011","神奈川県川崎市宮前区犬蔵2-25-9","044-976-9590","鷺沼・土橋・犬蔵","https://www.city.kawasaki.jp/350/page/0000022212.html","2026-08-23"
"神奈川県","川崎市宮前区","鷲ヶ峯地域包括支援センター","2160014","神奈川県川崎市宮前区菅生ヶ丘13-1 特別養護老人ホーム鷲ヶ峯内","044-978-2724","水沢・潮見台・菅生ケ丘・菅生・初山","https://www.city.kawasaki.jp/350/page/0000022214.html","2026-08-23"
"神奈川県","川崎市宮前区","宮前平地域包括支援センター","2160035","神奈川県川崎市宮前区馬絹6-20-4","044-872-7144","小台・宮前平・宮崎6丁目・馬絹","https://www.city.kawasaki.jp/350/page/0000022200.html","2026-08-23"
"神奈川県","川崎市宮前区","地域包括支援センタービオラ宮崎","2160033","神奈川県川崎市宮前区宮崎2-8-32-102","044-948-5371","けやき平・南平台・神木・宮崎1〜5丁目","https://www.city.kawasaki.jp/350/page/0000022202.html","2026-08-23"
"神奈川県","横浜市鶴見区","横浜市潮田地域ケアプラザ","2300048","神奈川県横浜市鶴見区本町通4-171-23","045-507-2132","潮田町・仲通・下野谷町・本町通・栄町通1〜2丁目・向井町・大東町・朝日町・浜町・安善町・汐入町・小野町・末広町・寛政町・弁天町・扇島","https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/otoiawase/chiikihoukatsu.files/0034_20260724.pdf","2026-08-23"
"神奈川県","横浜市鶴見区","横浜市矢向地域ケアプラザ","2300001","神奈川県横浜市鶴見区矢向4-32-11","045-573-0029","矢向1〜6丁目・江ケ崎町","https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/otoiawase/chiikihoukatsu.files/0034_20260724.pdf","2026-08-23"
"神奈川県","横浜市鶴見区","横浜市寺尾地域ケアプラザ","2300077","神奈川県横浜市鶴見区東寺尾6-37-14","045-585-5622","岸谷3丁目・北寺尾1〜7丁目・獅子ケ谷1〜3丁目・諏訪坂・鶴見1〜2丁目・寺谷1丁目・馬場6丁目・東寺尾北台・東寺尾中台・東寺尾東台","https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/otoiawase/chiikihoukatsu.files/0034_20260724.pdf","2026-08-23"
"神奈川県","横浜市鶴見区","横浜市東寺尾地域ケアプラザ","2300077","神奈川県横浜市鶴見区東寺尾1-12-3","045-584-0293","岸谷1〜4丁目・東寺尾1〜6丁目","https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/otoiawase/chiikihoukatsu.files/0034_20260724.pdf","2026-08-23"
